room_id,page_number,title,city
208428,Chelsea and Kensington 1间浪漫卧室公寓,Not Found,london
69399,City of London 1间热情卧室公寓,Not Found,london
208363,Bloomsbury 1间温馨卧室公寓,Not Found,london
208362,Chelsea and Kensington 1间温馨卧室公寓,Not Found,london
346199,Marylebone 1间赏心卧室公寓,Not Found,london
441089,London 1间便利卧室公寓,Not Found,london
55843,Tower Hamlets间工作室公寓,Not Found,london
52036,City of London 1间卧室公寓,Not Found,london
250849,Chelsea and Kensington间工作室公寓,Not Found,london
50205,Tower Hamlets 1间绮丽卧室公寓,Not Found,london
208418,Notting Hill 1间绚丽夺目卧室公寓,Not Found,london
room_id,page_number,title,city
66538,,Not Found,singapore
386228,Tiong Bahru间工作室公寓,Not Found,singapore
386231,Outram间工作室公寓,Not Found,singapore
368340,Tanglin 2间迷人卧室公寓,Not Found,singapore
193341,River Valley间工作室公寓,Not Found,singapore
263326,Orchard 1间卧室公寓,Not Found,singapore
429023,One Bed Room Apartment.独立套房2,Not Found,singapore
263328,Tiong Bahru 1间卧室公寓,Not Found,singapore
170223,Orchard间工作室公寓,Not Found,singapore
room_id,page_number,title,city
70554,Akasaka 1间赏心卧室公寓,Not Found,tokyo
246866,Roppongi 间工作室公寓,Not Found,tokyo
73512,Roppongi  1间安逸卧室公寓,Not Found,tokyo
441774,Shibuya 1间便利卧室公寓,Not Found,tokyo
75455,Roppongi  1间旖旎卧室公寓,Not Found,tokyo
241842,Roppongi  1间便捷卧室公寓,Not Found,tokyo
202953,Charming in Central Location,Not Found,tokyo
76380,Roppongi  1间玲珑卧室公寓,Not Found,tokyo
23645,Minato 2间宽阔卧室公寓,Not Found,tokyo
13379,Akasaka 1间舒适卧室公寓,Not Found,tokyo
387198,Nakano 2间赏心卧室公寓,Not Found,tokyo
134532,"""Spectacular",Not Found,tokyo
429418,Calm and residential area apartment,Not Found,tokyo
409556,"""Toshima",Not Found,tokyo
130360,Shinjuku 1间惬意卧室公寓,Not Found,tokyo
242299,Shinjuku 1间卧室公寓,Not Found,tokyo
246765,Shinjuku 1间宜人卧室公寓,Not Found,tokyo
231218,Shinjuku间工作室公寓,Not Found,tokyo
room_id,page_number,title,city
452790,大阪 1间卧室公寓,5,osaka
452797,大阪 1间旖旎卧室公寓,Not Found,osaka
364534,梅田 1间玲珑卧室公寓,Not Found,osaka
room_id,page_number,title,city
441411,Pattaya 6间高级卧室独栋房屋,6,pattaya
441407,Pattaya 2间绝佳卧室独栋房屋,7,pattaya
411237,Pattaya 2间惊艳卧室公寓,Not Found,pattaya
441410,Pattaya 4间惊艳卧室独栋房屋,Not Found,pattaya
441409,Pattaya 2间惊艳卧室独栋房屋,Not Found,pattaya
room_id,page_number,title,city
166872,Bangrak间工作室酒店,Not Found,bangkok
37521,Thon Buri 1间便利卧室公寓,Not Found,bangkok
73633,Thon Buri 2间瑰丽卧室公寓,Not Found,bangkok
37072,Thon Buri 2间宽阔卧室公寓,Not Found,bangkok
174812,Bangrak间工作室公寓,Not Found,bangkok
134834,Bang Khlo 1间卧室公寓,Not Found,bangkok
241626,Thon Buri 1间卧室公寓,Not Found,bangkok
room_id,page_number,title,city
13937,""" 	3B2b - 3 Min to MRT",Not Found,taipei
room_id,page_number,title,city
208428,Chelsea and Kensington 1间浪漫卧室公寓,Not Found,london
69399,City of London 1间热情卧室公寓,Not Found,london
208363,Bloomsbury 1间温馨卧室公寓,Not Found,london
